School ID,School Name,Network,Governance,School Type,Community Area,Total,PE,PK,K,1,2,3,4,5,6,7,8,9,10,11,12
609726,BROOKS HS,ISP,District,Traditional,ROSELAND,977,0,0,0,0,0,0,0,0,0,63,54,211,198,216,235
610091,BROWN R,Network 13,District,Traditional,WEST PULLMAN,292,28,25,16,23,30,26,26,37,22,26,33,0,0,0,0
609812,BROWN W,Network 6,District,Traditional,NEAR WEST SIDE,209,12,18,16,16,17,20,18,19,26,27,20,0,0,0,0
609813,BROWNELL,Network 12,District,Traditional,GREATER GRAND CROSSING,135,2,14,17,18,10,19,23,17,15,0,0,0,0,0,0
609830,BRUNSON,Network 3,District,Traditional,AUSTIN,420,36,42,39,53,30,39,23,34,40,46,38,0,0,0,0
609817,BUDLONG,ISP,District,Traditional,LINCOLN SQUARE,675,1,91,75,78,77,52,57,58,66,52,68,0,0,0,0
609818,BURBANK,Network 3,District,Traditional,BELMONT CRAGIN,698,16,37,57,63,63,69,82,65,68,84,94,0,0,0,0
609819,BURKE,Network 9,District,Traditional,WASHINGTON PARK,280,6,27,29,29,31,24,27,32,27,21,27,0,0,0,0
609820,BURLEY,ISP,District,Traditional,LAKE VIEW,493,0,0,58,60,68,56,60,52,44,50,45,0,0,0,0
609821,BURNHAM,Network 13,District,Traditional,SOUTH DEERING,429,6,21,36,38,35,34,44,38,52,65,60,0,0,0,0
609827,BURNSIDE,Network 12,District,Traditional,CHATHAM,308,0,23,31,24,30,33,32,31,39,27,38,0,0,0,0
609828,BURR,Network 6,District,Traditional,WEST TOWN,479,0,0,46,56,48,49,57,58,51,58,56,0,0,0,0
609829,BURROUGHS,Network 8,District,Traditional,BRIGHTON PARK,320,0,20,14,25,28,43,41,32,35,40,42,0,0,0,0
609832,BYRNE,Network 10,District,Traditional,GARFIELD RIDGE,614,0,0,53,58,80,62,68,74,57,86,76,0,0,0,0
609833,CALDWELL,ISP,District,Traditional,AVALON PARK,205,1,15,14,18,21,20,20,17,22,27,30,0,0,0,0
610353,CALMECA,Network 8,District,Traditional,BRIGHTON PARK,614,15,29,51,62,57,62,59,72,72,72,63,0,0,0,0
609835,CAMERON,Network 5,District,Traditional,HUMBOLDT PARK,565,4,27,41,55,53,49,59,65,70,72,70,0,0,0,0
610539,CAMRAS,ISP,District,Traditional,BELMONT CRAGIN,775,32,66,57,56,83,72,76,71,87,85,90,0,0,0,0
609836,CANTY,Network 1,District,Traditional,DUNNING,797,12,70,73,78,79,79,78,77,85,86,80,0,0,0,0
